iter	RMSE
0	14.10263268
1	13.2497233
2	12.50462437
3	11.9333376
4	11.40535745
5	10.9336225
6	10.47164009
7	10.04779559
8	9.632523593
9	9.192067513
10	8.799051315
11	8.479132596
12	8.224171607
13	7.972021926
14	7.671570803
15	7.391134367
16	7.142022528
17	6.972931346
18	6.780279782
19	6.618105804
20	6.492572715
21	6.374506825
22	6.218596111
23	6.076563708
24	5.945381155
25	5.842818892
26	5.738013283
27	5.654915175
28	5.559186015
29	5.468341205
30	5.399684492
31	5.340751195
32	5.264584167
33	5.197319124
34	5.119014001
35	5.056696444
36	5.002925798
37	4.963174123
38	4.921414509
39	4.869322328
40	4.839625354
41	4.812453392
42	4.768704267
43	4.749052645
44	4.707690758
45	4.66788736
46	4.616086502
47	4.564340985
48	4.532142812
49	4.492145087
50	4.467007285
51	4.426087356
52	4.366585329
53	4.332190082
54	4.303074347
55	4.278772598
56	4.253554556
57	4.228910298
58	4.217284833
59	4.193423752
60	4.155165642
61	4.127160324
62	4.091443213
63	4.075299673
64	4.044510365
65	4.027855187
66	4.010480625
67	3.975573426
68	3.950127948
69	3.915229019
70	3.895956018
71	3.877895159
72	3.846425559
73	3.822129965
74	3.80892443
75	3.790271441
76	3.778611589
77	3.763150547
78	3.736094059
79	3.706884365
80	3.689991238
81	3.6790319
82	3.657203653
83	3.633962985
84	3.607437438
85	3.585435158
86	3.567019772
87	3.542071064
88	3.526550208
89	3.506084303
90	3.490367925
91	3.476951168
92	3.468034077
93	3.445613612
94	3.434795926
95	3.416137564
96	3.40419322
97	3.380669676
98	3.370220473
99	3.363427625
